Reference,Qty,Value,Price,Link,Info,Datasheet
A1,1,Arduino Nano,€ 0.85,https://www.aliexpress.com/item/1005009848194286.html?spm=a2g0o.productlist.main.2.272dAOGCAOGCC3&algo_pvid=9722225a-3b2c-4f53-8f4e-bf189188c4b2&algo_exp_id=9722225a-3b2c-4f53-8f4e-bf189188c4b2-1&pdp_ext_f=%7B%22order%22%3A%22492%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21RSD%21634.84%21107.61%21%21%2140.62%216.88%21%402103867617694836064976801e5301%2112000050351267035%21sea%21SRB%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d40ec8a%3Bm03_new_user%3A-29895%3BpisId%3A5000000198944678&curPageLogUid=zqtlX2JvszSk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009848194286%7C_p_origin_prod%3A,,https://content.arduino.cc/assets/NANOEveryV3.0_sch.pdf
AE1,1,Antenna Shielded SMA,€ 0.85,https://www.aliexpress.com/item/1005008813991595.html?spm=a2g0o.productlist.main.2.2d511462SjDVFC&algo_pvid=17fd7b4d-cee6-4f00-bfd0-da1e8e477131&algo_exp_id=17fd7b4d-cee6-4f00-bfd0-da1e8e477131-1&pdp_ext_f=%7B%22order%22%3A%2211%22%2C%22eval%22%3A%221%22%25,,~
BT1,1,12VDC Lead Acid,€ 27.59,https://borikplus.rs/proizvodi/olovne-baterije/ms-12-12-olovna-vrla-baterija-12v-12ah/,,~
C1,1,470uF,€ 0.85,https://www.aliexpress.com/item/1005008244407175.html?spm=a2g0o.productlist.main.8.451b2e21ADfoOz&algo_pvid=071165ab-a55f-4722-b2ed-29803b43e3aa&algo_exp_id=071165ab-a55f-4722-b2ed-29803b43e3aa-7&pdp_ext_f=%7B%22order%22%3A%221393%22%2C%22spu_best_type%22,,~
C2,1,100uF,€ 1.22,https://www.aliexpress.com/item/1005005661484224.html?spm=a2g0o.productlist.main.3.471a3c7dJEWCfk&aem_p4p_detail=20260126181625537825271101430005294077&algo_pvid=28e81d18-5441-49b4-8187-61a3d61b63a4&algo_exp_id=28e81d18-5441-49b4-8187-61a3d61b63a4-2&pdp_e,,~
C3,1,2pF, € -   ,,,~
C4,1,2.2pF, € -   ,,,~
C5,1,10pF, € -   ,,,~
C6,1,470pF, € -   ,,,~
D1,1,LED_R,€ 0.85,https://www.aliexpress.com/item/1005010315277808.html?spm=a2g0o.productlist.main.6.391f6131UNO8NS&algo_pvid=844a40a3-0584-430c-a347-154094a393a7&algo_exp_id=844a40a3-0584-430c-a347-154094a393a7-5&pdp_ext_f=%7B%22order%22%3A%2246%22%2C%22eval%22%3A%221%22%25,,~
